latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.4905,127.6398,310.8,1.1,1,2024-08-15,0119,Terra,MODIS,62,61.03,294.5,7.4,D,1
0.7899,127.3815,316.8,1,1,2024-08-15,0119,Terra,MODIS,0,61.03,299.9,8.8,D,2
1.4919,127.6305,317.3,1.1,1,2024-08-15,0119,Terra,MODIS,73,61.03,295.8,13.2,D,1
-2.5766,121.384,354.2,1.5,1.2,2024-08-15,0120,Terra,MODIS,97,61.03,297.1,117.4,D,2
-2.5812,121.3767,329.7,1.5,1.2,2024-08-15,0120,Terra,MODIS,84,61.03,295.7,41.8,D,2
-2.5831,121.3892,323.6,1.5,1.2,2024-08-15,0120,Terra,MODIS,79,61.03,294.1,29.1,D,2
-3.116,130.0602,309.6,1.7,1.3,2024-08-15,0120,Terra,MODIS,66,61.03,292.4,11,D,0
-2.0097,121.4329,314.5,1.5,1.2,2024-08-15,0120,Terra,MODIS,69,61.03,294.1,13.5,D,2
-8.187,127.9284,320.4,1.4,1.2,2024-08-15,0121,Terra,MODIS,73,61.03,301.4,15.9,D,0
-9.3941,119.3787,330.5,1.6,1.2,2024-08-15,0122,Terra,MODIS,83,61.03,303.4,43.2,D,0
-9.4023,119.8743,314.6,1.5,1.2,2024-08-15,0122,Terra,MODIS,61,61.03,300.9,8.3,D,0
-10.0766,120.7146,312.3,1.3,1.1,2024-08-15,0122,Terra,MODIS,35,61.03,298,6.9,D,0
-0.5752,103.0831,312.4,1.1,1.1,2024-08-15,0258,Terra,MODIS,62,61.03,294.8,6.4,D,0
0.9294,101.4866,316.7,1,1,2024-08-15,0258,Terra,MODIS,31,61.03,299.3,7.7,D,0
0.1081,102.7032,314.1,1.1,1,2024-08-15,0258,Terra,MODIS,55,61.03,296.5,7.8,D,0
-0.332,102.6204,322,1.1,1,2024-08-15,0258,Terra,MODIS,34,61.03,287,14.7,D,0
-0.3333,102.6297,324.8,1.1,1,2024-08-15,0258,Terra,MODIS,58,61.03,287.8,17.4,D,0
-0.3424,102.6284,322.4,1.1,1,2024-08-15,0258,Terra,MODIS,39,61.03,288.2,14.7,D,0
-1.3485,100.5857,312.2,1,1,2024-08-15,0258,Terra,MODIS,45,61.03,295.8,6,D,2
-4.5523,103.1486,311.6,1.2,1.1,2024-08-15,0259,Terra,MODIS,49,61.03,296.3,6.4,D,0
-4.5621,103.1473,312.2,1.2,1.1,2024-08-15,0259,Terra,MODIS,59,61.03,296.9,7,D,0
-9.8698,123.8316,330.8,1,1,2024-08-15,0601,Aqua,MODIS,82,61.03,307.2,20,D,0
-9.7026,119.7879,316.4,1.7,1.3,2024-08-15,0601,Aqua,MODIS,66,61.03,298.1,19.4,D,0
-9.7731,120.0348,315.2,1.7,1.3,2024-08-15,0601,Aqua,MODIS,63,61.03,300.5,11.4,D,0
-9.1155,124.9139,319.7,1,1,2024-08-15,0601,Aqua,MODIS,70,61.03,304.7,5.7,D,0
-9.1536,124.9014,327.8,1,1,2024-08-15,0601,Aqua,MODIS,80,61.03,304.8,14.1,D,0
-9.9161,120.3329,312.9,1.6,1.2,2024-08-15,0601,Aqua,MODIS,56,61.03,299.8,9.7,D,0
-10.0854,120.7076,344.4,1.5,1.2,2024-08-15,0601,Aqua,MODIS,92,61.03,305.8,75,D,0
-10.0837,120.721,323.9,1.5,1.2,2024-08-15,0601,Aqua,MODIS,59,61.03,305.2,21,D,0
-9.8379,123.7983,321.2,1,1,2024-08-15,0601,Aqua,MODIS,71,61.03,305.2,8.2,D,0
-9.9239,123.7802,325.6,1,1,2024-08-15,0601,Aqua,MODIS,76,61.03,304.6,15.6,D,0
-9.9612,123.7763,326.5,1,1,2024-08-15,0601,Aqua,MODIS,78,61.03,303.5,16,D,0
-9.9599,123.7856,342.6,1,1,2024-08-15,0601,Aqua,MODIS,91,61.03,305.4,41.6,D,0
-10.236,123.5869,322.1,1.1,1,2024-08-15,0601,Aqua,MODIS,58,61.03,311.1,8.4,D,0
-10.1203,124.4035,317.6,1,1,2024-08-15,0601,Aqua,MODIS,62,61.03,304.8,7.7,D,0
-10.119,124.4125,314.9,1,1,2024-08-15,0601,Aqua,MODIS,49,61.03,304.3,5.9,D,0
-8.3749,123.2063,313.3,1,1,2024-08-15,0601,Aqua,MODIS,0,61.03,301.6,7.1,D,0
-8.3068,123.6849,321.3,1,1,2024-08-15,0601,Aqua,MODIS,74,61.03,301.9,13,D,0
-8.7729,120.8383,314.6,1.4,1.2,2024-08-15,0601,Aqua,MODIS,65,61.03,296.3,11.9,D,0
-8.8024,120.8553,313,1.4,1.2,2024-08-15,0601,Aqua,MODIS,25,61.03,296.7,10,D,0
-3.9082,122.4125,317.8,1,1,2024-08-15,0602,Aqua,MODIS,57,61.03,301.7,8.6,D,2
-3.9068,122.4216,318,1,1,2024-08-15,0602,Aqua,MODIS,60,61.03,300.3,8.4,D,2
-3.8721,122.4073,319.7,1,1,2024-08-15,0602,Aqua,MODIS,51,61.03,302,9.4,D,2
-3.54,126.4811,314.8,1.3,1.1,2024-08-15,0602,Aqua,MODIS,51,61.03,293.4,8.8,D,0
-4.1729,119.8514,319.5,1.4,1.2,2024-08-15,0602,Aqua,MODIS,61,61.03,300.7,13.9,D,0
-3.8735,122.3981,322.1,1,1,2024-08-15,0602,Aqua,MODIS,71,61.03,301.9,12.8,D,2
-2.1616,120.3297,308.4,1.2,1.1,2024-08-15,0603,Aqua,MODIS,48,61.03,294.4,6.3,D,0
-2.0122,121.4319,319.7,1.1,1,2024-08-15,0603,Aqua,MODIS,73,61.03,300.3,12.7,D,2
-2.481,121.0406,314.1,1.1,1.1,2024-08-15,0603,Aqua,MODIS,45,61.03,297,7.3,D,0
-2.489,121.0522,316.9,1.1,1.1,2024-08-15,0603,Aqua,MODIS,62,61.03,297.5,10.4,D,0
-2.5829,121.3759,341.7,1.1,1,2024-08-15,0603,Aqua,MODIS,91,61.03,296.6,45.2,D,2
-2.003,121.4306,325.3,1.1,1,2024-08-15,0603,Aqua,MODIS,73,61.03,298.8,18.1,D,2
-1.0298,121.9112,311.1,1,1,2024-08-15,0603,Aqua,MODIS,43,61.03,295.4,5.2,D,0
-1.2128,121.6034,313.1,1.1,1,2024-08-15,0603,Aqua,MODIS,67,61.03,298.8,6,D,0
-1.877,121.5317,315.6,1.1,1,2024-08-15,0603,Aqua,MODIS,71,61.03,297,9,D,0
-2.0191,120.8767,316.1,1.1,1.1,2024-08-15,0603,Aqua,MODIS,72,61.03,296.4,9.5,D,0
-2.0176,120.8868,314.7,1.1,1.1,2024-08-15,0603,Aqua,MODIS,69,61.03,296.5,8.4,D,0
-1.5057,120.3349,313.7,1.2,1.1,2024-08-15,0603,Aqua,MODIS,68,61.03,297,8.6,D,0
-2.8419,121.0599,316.6,1.1,1.1,2024-08-15,0603,Aqua,MODIS,0,61.03,295.4,10.2,D,0
-2.5815,121.3855,340.2,1.1,1,2024-08-15,0603,Aqua,MODIS,90,61.03,294.3,42,D,2
-1.4378,121.7064,315,1.1,1,2024-08-15,0603,Aqua,MODIS,71,61.03,296.1,9.4,D,0
-1.3951,121.7465,312.4,1,1,2024-08-15,0603,Aqua,MODIS,67,61.03,296.5,6.3,D,0
-1.4468,121.7079,311.6,1.1,1,2024-08-15,0603,Aqua,MODIS,36,61.03,295.8,6.5,D,0
-1.8078,120.9298,313.3,1.1,1.1,2024-08-15,0603,Aqua,MODIS,69,61.03,292.1,11.8,D,0
-1.8064,120.9399,319.4,1.1,1.1,2024-08-15,0603,Aqua,MODIS,77,61.03,290.8,18.5,D,0
-1.865,120.8017,315.4,1.2,1.1,2024-08-15,0603,Aqua,MODIS,72,61.03,295.3,12.2,D,0
-1.291,121.6967,311.5,1,1,2024-08-15,0603,Aqua,MODIS,64,61.03,297.3,5.3,D,0
-1.4144,121.7402,312.1,1,1,2024-08-15,0603,Aqua,MODIS,64,61.03,296.7,6.1,D,0
-1.8712,120.7985,311.3,1.2,1.1,2024-08-15,0603,Aqua,MODIS,37,61.03,295.5,7,D,0
-1.9462,121.0495,311.7,1.1,1.1,2024-08-15,0603,Aqua,MODIS,65,61.03,296.9,6,D,0
0.4794,116.2695,312,2.2,1.4,2024-08-15,0604,Aqua,MODIS,54,61.03,293.5,20.9,D,0
1.3611,115.6867,320.3,2.4,1.5,2024-08-15,0604,Aqua,MODIS,56,61.03,286.5,51.5,D,0
0.8945,114.6224,308.6,3,1.6,2024-08-15,0604,Aqua,MODIS,65,61.03,288.5,26.3,D,0
-0.4608,112.3525,310.5,4.8,2,2024-08-15,0604,Aqua,MODIS,69,61.03,285.9,70.8,D,0
0.9068,114.6264,311.7,3,1.6,2024-08-15,0604,Aqua,MODIS,70,61.03,287.3,36.1,D,0
0.6968,122.9376,317.8,1,1,2024-08-15,0604,Aqua,MODIS,70,61.03,296.6,9.5,D,0
-0.4606,112.3562,309.7,4.8,2,2024-08-15,0604,Aqua,MODIS,68,61.03,285.9,66.8,D,0
1.3742,115.6842,314.4,2.4,1.5,2024-08-15,0604,Aqua,MODIS,31,61.03,286.8,32.5,D,0
1.3773,115.7047,321,2.4,1.5,2024-08-15,0604,Aqua,MODIS,78,61.03,286.9,53.6,D,0
3.911,116.9476,311.5,1.7,1.3,2024-08-15,0605,Aqua,MODIS,32,61.03,291.4,12.5,D,0
-0.344,102.8122,311.2,1.7,1.3,2024-08-15,0742,Aqua,MODIS,10,61.03,286.4,12.4,D,0
1.2433,99.6843,314.4,1.1,1,2024-08-15,0742,Aqua,MODIS,66,61.03,293.3,8.5,D,0
1.2448,99.6944,313.4,1.1,1,2024-08-15,0742,Aqua,MODIS,64,61.03,293.4,7.1,D,0
1.1395,99.6651,315.4,1.1,1,2024-08-15,0742,Aqua,MODIS,69,61.03,292.9,10.2,D,0
0.9229,101.4845,313.9,1.4,1.2,2024-08-15,0742,Aqua,MODIS,19,61.03,293.4,11.8,D,0
2.3028,99.2971,309.8,1.1,1,2024-08-15,0743,Aqua,MODIS,49,61.03,289,6.2,D,0
-10.3557,123.4847,320.3,1,1,2024-08-15,1337,Terra,MODIS,100,61.03,296.7,15.8,N,3
-10.0826,120.7143,318.6,1.1,1.1,2024-08-15,1337,Terra,MODIS,96,61.03,291.5,21,N,0
-3.9032,122.4192,306.4,1,1,2024-08-15,1338,Terra,MODIS,68,61.03,293.7,6,N,2
-3.8686,122.3989,303.7,1,1,2024-08-15,1338,Terra,MODIS,56,61.03,293.3,4.1,N,2
-3.0333,115.1513,307.2,2.2,1.4,2024-08-15,1339,Terra,MODIS,71,61.03,291.4,18.8,N,0
-0.948,119.7673,306.3,1,1,2024-08-15,1339,Terra,MODIS,68,61.03,288.9,8.9,N,0
-2.8794,122.1634,304,1,1,2024-08-15,1339,Terra,MODIS,32,61.03,293.6,4,N,0
-2.8322,122.175,317.1,1,1,2024-08-15,1339,Terra,MODIS,94,61.03,294.6,12.6,N,2
-2.8335,122.1661,311.3,1,1,2024-08-15,1339,Terra,MODIS,82,61.03,294.4,8.2,N,2
-2.575,121.3823,351.8,1,1,2024-08-15,1339,Terra,MODIS,100,61.03,292.9,65.8,N,2
-2.5762,121.3735,307.4,1,1,2024-08-15,1339,Terra,MODIS,64,61.03,289.7,7.4,N,2
-3.4272,115.0461,305.7,2.3,1.5,2024-08-15,1339,Terra,MODIS,65,61.03,291.2,17.2,N,0
-3.0306,115.1708,304.8,2.2,1.4,2024-08-15,1339,Terra,MODIS,62,61.03,291.5,13.6,N,0
0.6906,117.5501,307.6,1.3,1.1,2024-08-15,1340,Terra,MODIS,72,61.03,291.8,8.9,N,2
-2.1588,115.5831,309.6,1.1,1,2024-08-15,1824,Aqua,MODIS,78,61.03,292.7,8.7,N,2
-2.2115,115.5017,305.4,1.1,1,2024-08-15,1824,Aqua,MODIS,64,61.03,293,5.9,N,2
0.6934,117.5577,306,1,1,2024-08-15,1824,Aqua,MODIS,66,61.03,284.4,6.9,N,2
-3.029,115.1683,309,1.1,1,2024-08-15,1825,Aqua,MODIS,76,61.03,293.1,8.6,N,0
-3.0276,115.1587,308.8,1.1,1,2024-08-15,1825,Aqua,MODIS,75,61.03,292.7,8.5,N,0
-3.1593,113.7807,301.6,1.3,1.1,2024-08-15,1825,Aqua,MODIS,42,61.03,291.3,5.8,N,0
0.6885,117.5598,317.6,1.1,1,2024-08-16,0159,Terra,MODIS,53,61.03,297.2,10.1,D,2
0.6898,117.5504,317.3,1.1,1,2024-08-16,0159,Terra,MODIS,48,61.03,297.8,9.6,D,2
