latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,RED,NIR,SWIR,NDVI,NBR,Thermal_norm,label
1.4905,127.6398,310.8,1.1,1.0,2024-08-15,119,Terra,MODIS,62,61.03,294.5,7.4,D,1,310.8,74.0,16.30000000000001,-0.6153846153846154,0.6389811738648946,0.4843462246777165,1
0.7899,127.3815,316.8,1.0,1.0,2024-08-15,119,Terra,MODIS,0,61.03,299.9,8.8,D,2,316.8,88.0,16.900000000000034,-0.5652173913043479,0.6777883698760719,0.5837937384898707,1
1.4919,127.6305,317.3,1.1,1.0,2024-08-15,119,Terra,MODIS,73,61.03,295.8,13.2,D,1,317.3,132.0,21.5,-0.41241931894057426,0.7198697068403909,0.5082872928176799,1
-2.5766,121.384,354.2,1.5,1.2,2024-08-15,120,Terra,MODIS,97,61.03,297.1,117.4,D,2,354.2,1174.0,57.099999999999966,0.5364481088862714,0.9072374299407036,0.5322283609576433,0
-2.5812,121.3767,329.7,1.5,1.2,2024-08-15,120,Terra,MODIS,84,61.03,295.7,41.8,D,2,329.7,418.0,34.0,0.11809549284472383,0.8495575221238938,0.5064456721915285,1
-2.5831,121.3892,323.6,1.5,1.2,2024-08-15,120,Terra,MODIS,79,61.03,294.1,29.1,D,2,323.6,291.0,29.5,-0.053042629352424375,0.8159126365054602,0.47697974217311284,1
-3.116,130.0602,309.6,1.7,1.3,2024-08-15,120,Terra,MODIS,66,61.03,292.4,11.0,D,0,309.6,110.0,17.200000000000045,-0.4756911344137274,0.7295597484276723,0.4456721915285448,1
-2.0097,121.4329,314.5,1.5,1.2,2024-08-15,120,Terra,MODIS,69,61.03,294.1,13.5,D,2,314.5,135.0,20.399999999999977,-0.39933259176863184,0.7374517374517378,0.47697974217311284,1
-8.187,127.9284,320.4,1.4,1.2,2024-08-15,121,Terra,MODIS,73,61.03,301.4,15.9,D,0,320.4,159.0,19.0,-0.3366708385481852,0.7865168539325843,0.6114180478821359,1
-9.3941,119.3787,330.5,1.6,1.2,2024-08-15,122,Terra,MODIS,83,61.03,303.4,43.2,D,0,330.5,432.0,27.100000000000023,0.13311475409836065,0.8819429318231321,0.6482504604051562,1
